GEOID,coords,duration,geometry
17031070103,"[41.92681098246037, -87.64260515425376]",20.0,"POLYGON ((-87.64242729999999 41.93895939999999, -87.63676289999999 41.93561769999999, -87.6297721 41.9228663, -87.63354199999999 41.9153611, -87.6423317 41.9146282, -87.64994 41.917647, -87.65446709999999 41.9213668, -87.65825439999999 41.9267525, -87.65533809999999 41.9320696, -87.65836419999999 41.9435601, -87.6505629 41.9373745, -87.64242729999999 41.93895939999999))"
17031030701,"[41.982745288792074, -87.65796585953574]",20.0,"POLYGON ((-87.6549625 41.9966424, -87.6549625 41.9966424, -87.650235 41.978176, -87.6451957 41.968775, -87.65046219999999 41.9717221, -87.65777779999999 41.96750309999999, -87.66503179999999 41.9736143, -87.67025090000001 41.9773489, -87.67422309999999 41.9827653, -87.6720041 41.9889259, -87.66627799999999 41.993291, -87.65803 41.99763799999999, -87.6549625 41.9966424))"
17031030101,"[41.99127066339627, -87.65466774456512]",20.0,"POLYGON ((-87.650235 41.978176, -87.65212179999999 41.9818584, -87.6542779 41.9763945, -87.66130199999999 41.9817782, -87.66687739999999 41.98605999999999, -87.67098799999999 41.991034, -87.66553979999999 41.9956627, -87.662995 42.002016, -87.65698 42.002285, -87.6566102 42.0013306, -87.65579939999999 41.9989146, -87.650235 41.978176))"
17031770602,"[42.01239439608563, -87.90448800704867]",20.0,"POLYGON ((-87.8975512 42.0210953, -87.8933316 42.017146, -87.8943202 42.0129263, -87.89241269999999 42.0075886, -87.89407949999999 42.0031817, -87.8997177 42.0077101, -87.9041309 42.0064003, -87.9084869 42.005223, -87.9174252 42.00857449999999, -87.916873 42.018935, -87.9100321 42.0238382, -87.90528809999999 42.0272097, -87.8975512 42.0210953))"
17031838800,"[41.683489334657295, -87.57230614475587]",20.0,"POLYGON ((-87.57060369999999 41.711636, -87.56944249999999 41.7102283, -87.56813849999999 41.7073099, -87.56393989999999 41.6845899, -87.5603077 41.6737607, -87.57237579999999 41.6736264, -87.57688870000001 41.6735544, -87.57688870000001 41.6735544, -87.57636669999999 41.684264, -87.57653569999999 41.6947135, -87.57653569999999 41.6947135, -87.57060369999999 41.711636))"
17031842300,"[41.902197768776695, -87.65606527816685]",20.0,"POLYGON ((-87.64627209999999 41.9152062, -87.6424466 41.9081827, -87.6480162 41.9020771, -87.6482824 41.8991704, -87.65338100000001 41.897886, -87.65593299999999 41.898804, -87.65667069999999 41.900662, -87.65858300000001 41.9006422, -87.6597716 41.9019249, -87.6597635 41.9034677, -87.66637329999999 41.9150336, -87.6562 41.92007599999999, -87.64627209999999 41.9152062))"
17031836900,"[41.88188305458552, -87.70613618169075]",20.0,"POLYGON ((-87.69853990000001 41.8902252, -87.692508 41.887106, -87.685692 41.881818, -87.69375359999999 41.8767253, -87.699067 41.87262399999999, -87.7060429 41.866951, -87.7131953 41.8731465, -87.7202837 41.8710308, -87.72637800000001 41.8822283, -87.717264 41.88634, -87.712863 41.891039, -87.70657709999999 41.89653029999999, -87.69853990000001 41.8902252))"
17031839500,"[41.834097586266815, -87.61929184377419]",20.0,"POLYGON ((-87.6156723 41.841881, -87.60476820000001 41.8388324, -87.6029628 41.834365, -87.60631309999999 41.8286114, -87.61202329999999 41.8250361, -87.6199254 41.822011, -87.626015 41.824864, -87.63146809999999 41.8290783, -87.63581599999999 41.834139, -87.6319077 41.839285, -87.62669009999999 41.8433354, -87.6194641 41.8462577, -87.6156723 41.841881))"
17031835800,"[41.81304625057568, -87.61871920160294]",20.0,"POLYGON ((-87.61850000000001 41.825073, -87.61148329999999 41.8229292, -87.6067355 41.8186112, -87.5993517 41.8132597, -87.60614699999999 41.80784500000001, -87.6118824 41.8042093, -87.61980299999999 41.798143, -87.62598919999999 41.8028256, -87.6308676 41.80785179999999, -87.63015299999999 41.813203, -87.631542 41.818321, -87.62271539999999 41.8214906, -87.61850000000001 41.825073))"
17031831900,"[41.94516901783816, -87.66879065351692]",20.0,"POLYGON ((-87.6618872 41.95430289999999, -87.6564657 41.9503303, -87.6527208 41.9455772, -87.65659079999999 41.9401471, -87.66068 41.9349909, -87.669167 41.930271, -87.67580269999999 41.935959, -87.680572 41.939815, -87.68826249999999 41.9449394, -87.68259429999999 41.9511396, -87.67648899999999 41.9556816, -87.66888179999999 41.96019330000001, -87.6618872 41.95430289999999))"
17031841200,"[41.85556187483232, -87.68334196400795]",20.0,"POLYGON ((-87.6770219 41.863539, -87.6711669 41.8605169, -87.663375 41.85572000000001, -87.67138899999999 41.850521, -87.67622 41.8471262, -87.683042 41.84348079999999, -87.69021599999999 41.845955, -87.69561929999999 41.8503961, -87.7000429 41.854885, -87.69554939999999 41.861009, -87.689431 41.863128, -87.6833934 41.8676429, -87.6770219 41.863539))"
17031832600,"[41.914749204441485, -87.65405512995534]",20.0,"POLYGON ((-87.65397899999999 41.926992, -87.6477354 41.92258169999999, -87.6418199 41.9199154, -87.6376473 41.9148456, -87.63987379999999 41.90879839999999, -87.64587849999999 41.9034803, -87.65387799999999 41.902826, -87.6603088 41.9061773, -87.6662312 41.909503, -87.67046119999999 41.9147196, -87.66803499999999 41.920752, -87.6623419 41.9245467, -87.65397899999999 41.926992))"
17031841900,"[41.8678937582906, -87.64296812268435]",20.0,"POLYGON ((-87.64293200000002 41.880076, -87.63413899999999 41.871557, -87.62666759999999 41.86798599999999, -87.63866999999999 41.8666758, -87.63814839999999 41.8598504, -87.642574 41.859098, -87.65057499999999 41.858763, -87.6565676 41.8620398, -87.6591493 41.86779689999999, -87.65174069999999 41.8718685, -87.6569339 41.8742345, -87.649925 41.87703, -87.64293200000002 41.880076))"
